,grade,year,points,p1,p2,p3,p4,p5,p6,p7,p8,status,status_eng,region,region_eng,region_id,school
0,9,2009,54,7,7,7,5,7,7,7,7,победитель,winner,Ульяновская область,Ulyanovsk region,73.0,МОУ Гимназия №79
1,9,2009,45,7,7,0,7,6,7,5,6,победитель,winner,Ростовская область,Rostov region,61.0,МОУ Экономический Лицей №14
2,9,2009,43,7,0,7,7,7,7,7,1,победитель,winner,Санкт-Петербург,St. Petersburg,78.0,ГОУ Физико-математический лицей №239
3,9,2009,43,7,7,7,3,5,7,7,0,победитель,winner,Санкт-Петербург,St. Petersburg,78.0,ГОУ Физико-математический лицей №239
4,9,2009,42,7,7,7,0,7,7,7,0,победитель,winner,Санкт-Петербург,St. Petersburg,78.0,ГОУ Физико-математический Лицей №30
5,9,2009,36,7,7,7,5,0,7,3,0,призер,prize-winner,Москва,Moscow,77.0,"ГОУ Лицей ""Вторая школа"""
6,9,2009,35,7,7,0,0,7,7,7,0,призер,prize-winner,Краснодарский край,Krasnodar region,23.0,"НОУ ВПО ""Институт современных технологий и экономики"""
7,9,2009,34,7,7,0,0,6,7,7,0,призер,prize-winner,Московская область,Moscow region,50.0,МОУ Физико-математический Лицей №5
8,9,2009,31,7,7,0,0,0,7,7,3,призер,prize-winner,Москва,Moscow,77.0,"ГОУ Лицей ""Вторая школа"""
9,9,2009,28,7,7,0,0,0,7,7,0,призер,prize-winner,Ульяновская область,Ulyanovsk region,73.0,МОУ многопрофильный Лицей №20
10,9,2009,28,7,7,0,0,0,7,7,0,призер,prize-winner,Краснодарский край,Krasnodar region,23.0,МОУ СОШ №2
11,9,2009,26,7,0,0,0,7,7,5,0,призер,prize-winner,Саратовская область,Saratov region,64.0,МОУ Физико-технический лицей №1
12,9,2009,26,7,0,0,5,0,7,7,0,призер,prize-winner,Самарская область,Samara Region,63.0,МОУ Гимназия №1
13,9,2009,22,7,7,0,0,2,0,6,0,похвальная грамота,honourable mention,Республика Татарстан,Republic of Tatarstan,16.0,МОШИ Лицей-интернат №24
14,9,2009,22,7,7,0,0,0,7,1,0,похвальная грамота,honourable mention,Кировская область,Kirov region,43.0,МОУ Кировский Физико-математический лицей
15,9,2009,21,7,0,0,0,0,7,7,0,похвальная грамота,honourable mention,Москва,Moscow,77.0,ГОУ Гимназия №1543
16,9,2009,21,7,0,0,0,0,7,7,0,похвальная грамота,honourable mention,Республика Башкортостан,Republic of Bashkortostan,2.0,МБОУ Башкирский лицей-интернат №3
17,9,2009,21,7,7,0,0,0,0,7,0,похвальная грамота,honourable mention,Челябинская область,Chelyabinsk region,74.0,МОУ СОШ №5 с углубленным изучением математики
18,9,2009,20,7,0,0,0,0,7,6,0,похвальная грамота,honourable mention,Ленинградская область,Leningrad region,47.0,МОУ Сиверская Гимназия
19,9,2009,19,7,0,0,0,7,5,0,0,похвальная грамота,honourable mention,Республика Калмыкия,Republic of Kalmykia,8.0,МОУ ЦО ОД Республики Калмыкия «Элистинский лицей»
20,9,2009,19,7,0,0,0,0,7,5,0,похвальная грамота,honourable mention,Ярославская область,Yaroslavl region,76.0,МОУ СОШ №58 с углубленным изучением предметов естественно-математического цикла
21,9,2009,19,7,0,0,0,0,7,5,0,похвальная грамота,honourable mention,Алтайский край,Altai region,22.0,МОУ Гимназия №42
22,9,2009,19,7,0,0,0,7,0,5,0,похвальная грамота,honourable mention,Костромская область,Kostroma region,44.0,МОУ Лицей №17
23,9,2009,18,7,0,0,0,0,7,4,0,похвальная грамота,honourable mention,Рязанская область,Ryazan Oblast,62.0,"ТО ГОУ ОШИ ""Мичуринский лицей-интернат"""
24,9,2009,18,7,0,0,0,0,7,4,0,похвальная грамота,honourable mention,Калужская область,Kaluga region,40.0,МОУ Гимназия
25,9,2009,18,4,0,0,0,0,7,7,0,похвальная грамота,honourable mention,Томская область,Tomsk region,70.0,МОУ Гимназия №2
26,9,2009,18,4,0,0,0,0,7,7,0,похвальная грамота,honourable mention,Нижегородская область,Nizhny Novgorod Region,52.0,"МОУ Лицей №165 имени 65-летия ""ГАЗ"""
27,9,2009,17,7,0,0,0,0,3,7,0,участник,participant,Курганская область,Kurgan region,45.0,МОУ Лицей №12
28,9,2009,15,7,0,0,0,0,7,1,0,участник,participant,Архангельская область,Arkhangelsk region,29.0,МОУ Лицей №17
29,9,2009,14,7,0,0,0,0,7,0,0,участник,participant,Ханты-Мансийский АО,Khanty-Mansiysk,86.0,МОУ Гимназия
30,9,2009,14,7,0,0,0,0,7,0,0,участник,participant,Новосибирская область,Novosibirsk region,54.0,МБОУ Гимназия №3 в Академгородке
31,9,2009,14,7,0,0,0,0,7,0,0,участник,participant,Хабаровский край,Khabarovsk region,27.0,МОУ Математический лицей
32,9,2009,14,7,7,0,0,0,0,0,0,участник,participant,Республика Адыгея,Republic of Adygea,1.0,МОУ Гимназия №22
33,9,2009,13,7,5,0,0,0,0,0,1,участник,participant,Республика Чувашия,Chuvash Republic,21.0,МОУ Гимназия №1
34,9,2009,13,7,0,0,0,0,0,6,0,участник,participant,Красноярский край,Krasnoyarsk region,24.0,МОУ СОШ №7 с углубленным изучением отдельных предметов
